stream,date,section,seclen,elap,catch,density,cpue,year,effabun,effden_permeter
3 Channel,2021-08-06,1,150,54.1,304,2.026666666666667,5.619223659889094,2021,188869,1259.1266666666668
3 Channel,2021-08-06,2,150,27.71666667,170,1.1333333333333333,6.133493685371799,2021,227723,1518.1533333333334
3 Channel,2021-08-06,3,150,41,98,0.6533333333333333,2.3902439024390243,2021,74138,494.25333333333333
3 Channel,2021-08-06,4,150,38.8,348,2.32,8.969072164948454,2021,221436,1476.24
3 Channel,2021-08-22,1,150,47.78333333,182,1.2133333333333334,3.808859435215128,2021,289797,1931.98
3 Channel,2021-08-22,2,150,24.78333333,85,0.5666666666666667,3.4297242775292163,2021,69603,464.02
3 Channel,2021-08-22,3,150,25.75,34,0.22666666666666666,1.3203883495145632,2021,37275,248.5
3 Channel,2021-08-22,4,150,31.45,215,1.4333333333333333,6.836248012718601,2021,142727,951.5133333333333
3 Channel,2021-09-14,1,150,39.93333333,47,0.31333333333333335,1.1769616027693623,2021,99730,664.8666666666667
3 Channel,2021-09-14,2,150,26.88333333,44,0.29333333333333333,1.6367017980950653,2021,75357,502.38
3 Channel,2021-09-14,3,150,30.86666667,23,0.15333333333333332,0.7451403886884298,2021,65660,437.73333333333335
3 Channel,2021-09-14,4,150,51.6,112,0.7466666666666667,2.1705426356589146,2021,253582,1690.5466666666666
3 Channel,2021-10-06,1,150,40.96666667,144,0.96,3.5150528882412484,2021,441079,2940.5266666666666
3 Channel,2021-10-06,2,150,26.36666667,168,1.12,6.371681415123681,2021,697015,4646.766666666666
3 Channel,2021-10-06,3,150,22.78333333,76,0.5066666666666667,3.3357717634726805,2021,337832,2252.213333333333
3 Channel,2021-10-06,4,150,43.83333333,175,1.1666666666666667,3.9923954375659614,2021,795281,5301.873333333333
3 Channel,2021-11-02,1,150,36.28333333,120,0.8,3.3073036291508777,2021,456107,3040.713333333333
3 Channel,2021-11-02,2,150,30.85,99,0.66,3.2090761750405186,2021,469873,3132.4866666666667
3 Channel,2021-11-02,3,150,30.61666667,97,0.6466666666666666,3.1682090361275765,2021,421855,2812.366666666667
3 Channel,2021-11-02,4,150,30.86666667,113,0.7533333333333333,3.6609071270344593,2021,586777,3911.846666666667
3 Channel,2022-08-03,1,150,38.25,13,0.08666666666666667,0.33986928104575165,2022,16214,108.09333333333333
3 Channel,2022-08-03,2,150,37.38333333,24,0.16,0.6419973250683904,2022,30439,202.92666666666668
3 Channel,2022-08-03,3,150,26.48333333,29,0.19333333333333333,1.0950283198357493,2022,42186,281.24
3 Channel,2022-08-03,4,150,37.53333333,87,0.58,2.3179396094420905,2022,107225,714.8333333333334
3 Channel,2022-08-25,1,150,37.58333333,36,0.24,0.9578713969807424,2022,55009,366.7266666666667
3 Channel,2022-08-25,2,150,29.7,68,0.4533333333333333,2.28956228956229,2022,167570,1117.1333333333334
3 Channel,2022-08-25,3,150,26.21666667,32,0.21333333333333335,1.2205975840787544,2022,62827,418.8466666666667
3 Channel,2022-08-25,4,150,28.31666667,127,0.8466666666666667,4.484991170749265,2022,229379,1529.1933333333334
3 Channel,2022-09-16,1,150,33.56666667,104,0.6933333333333334,3.0983118169713695,2022,252240,1681.6
3 Channel,2022-09-16,2,150,18.88333333,30,0.2,1.5887025598567879,2022,72927,486.18
3 Channel,2022-09-16,3,150,26.25,53,0.35333333333333333,2.019047619047619,2022,150017,1000.1133333333333
3 Channel,2022-09-16,4,150,21.75,88,0.5866666666666667,4.045977011494253,2022,184947,1232.98
3 Channel,2022-10-05,1,150,34.65,90,0.6,2.5974025974025974,2022,255859,1705.7266666666667
3 Channel,2022-10-05,2,150,20.33333333,30,0.2,1.4754098363074444,2022,98605,657.3666666666667
3 Channel,2022-10-05,3,150,26.16666667,27,0.18,1.0318471336265163,2022,80405,536.0333333333333
3 Channel,2022-10-05,4,103,15.7,38,0.36893203883495146,2.4203821656050954,2022,109538,1063.4757281553398
3 Channel,2022-11-02,1,150,28.38333333,76,0.5066666666666667,2.677627716110115,2022,275106,1834.04
3 Channel,2022-11-02,2,150,18.53333333,49,0.32666666666666666,2.6438848925618497,2022,374346,2495.64
3 Channel,2022-11-02,3,150,25.3,50,0.3333333333333333,1.976284584980237,2022,968852,6459.013333333333
3 Channel,2022-11-02,4,150,25.53333333,92,0.6133333333333333,3.603133159739312,2022,666554,4443.693333333334
Blackrock,2021-08-10,1,150,NA,0,0,0,NA,0,0
Blackrock,2021-08-10,2,150,20.55,1,0.006666666666666667,0.048661800486618,2021,3675,24.5
Blackrock,2021-08-10,3,150,9.566666667,1,0.006666666666666667,0.10452961672109654,2021,1369,9.126666666666667
Blackrock,2021-08-10,4,150,15.55,3,0.02,0.19292604501607716,2021,3797,25.313333333333333
Blackrock,2021-08-31,1,150,NA,0,0,0,NA,0,0
Blackrock,2021-08-31,2,150,NA,0,0,0,NA,0,0
Blackrock,2021-08-31,3,150,14.43333333,3,0.02,0.20785219404338387,2021,19952,133.01333333333332
Blackrock,2021-08-31,4,150,10.13333333,1,0.006666666666666667,0.09868421055877771,2021,4232,28.213333333333335
Blackrock,2021-09-16,1,150,NA,0,0,0,NA,0,0
Blackrock,2021-09-16,2,150,NA,0,0,0,NA,0,0
Blackrock,2021-09-16,3,150,NA,0,0,0,NA,0,0
Blackrock,2021-09-16,4,150,NA,0,0,0,NA,0,0
Blackrock,2021-10-04,1,150,NA,0,0,0,NA,0,0
Blackrock,2021-10-04,2,150,28,8,0.05333333333333334,0.2857142857142857,2021,63494,423.29333333333335
Blackrock,2021-10-04,3,150,20.5,1,0.006666666666666667,0.04878048780487805,2021,5184,34.56
Blackrock,2021-10-04,4,150,15.35,5,0.03333333333333333,0.32573289902280134,2021,24268,161.78666666666666
Blackrock,2021-10-30,1,150,NA,0,0,0,NA,0,0
Blackrock,2021-10-30,2,150,NA,0,0,0,NA,0,0
Blackrock,2021-10-30,3,150,14.3,1,0.006666666666666667,0.06993006993006992,2021,13872,92.48
Blackrock,2021-10-30,4,150,16,1,0.006666666666666667,0.0625,2021,5776,38.50666666666667
Blackrock,2022-08-09,1,150,20.5,1,0.006666666666666667,0.04878048780487805,2022,841,5.6066666666666665
Blackrock,2022-08-09,2,150,33.31666667,7,0.04666666666666667,0.21010505250524214,2022,5840,38.93333333333333
Blackrock,2022-08-09,3,150,18.76666667,4,0.02666666666666667,0.21314387207581814,2022,3144,20.96
Blackrock,2022-08-09,4,150,17,5,0.03333333333333333,0.29411764705882354,2022,3435,22.9
Blackrock,2022-08-28,1,150,16,2,0.013333333333333334,0.125,2022,4709,31.393333333333334
Blackrock,2022-08-28,2,150,21.9,1,0.006666666666666667,0.04566210045662101,2022,3528,23.52
Blackrock,2022-08-28,3,150,13.73333333,5,0.03333333333333333,0.364077669991281,2022,10238,68.25333333333333
Blackrock,2022-08-28,4,150,14.5,9,0.06,0.6206896551724138,2022,20020,133.46666666666667
Blackrock,2022-09-12,1,150,15.41666667,3,0.02,0.1945945945525201,2022,10061,67.07333333333334
Blackrock,2022-09-12,2,150,NA,0,0,0,NA,0,0
Blackrock,2022-09-12,3,150,12.08333333,2,0.013333333333333334,0.16551724142497026,2022,6849,45.66
Blackrock,2022-09-12,4,150,15.9,8,0.05333333333333334,0.5031446540880503,2022,24349,162.32666666666665
Blackrock,2022-10-12,1,150,14.38333333,5,0.03333333333333333,0.34762456554985505,2022,19826,132.17333333333335
Blackrock,2022-10-12,2,150,24.91666667,6,0.04,0.24080267555306986,2022,24566,163.77333333333334
Blackrock,2022-10-12,3,150,12.16666667,4,0.02666666666666667,0.32876712319759804,2022,16470,109.8
Blackrock,2022-10-12,4,150,14.7,12,0.08,0.8163265306122449,2022,102184,681.2266666666667
Blackrock,2022-10-26,1,150,11.16666667,1,0.006666666666666667,0.08955223877923814,2022,3600,24
Blackrock,2022-10-26,2,150,25.53333333,4,0.02666666666666667,0.15665796346692662,2022,17635,117.56666666666666
Blackrock,2022-10-26,3,150,12.31666667,2,0.013333333333333334,0.16238159670842175,2022,6548,43.653333333333336
Blackrock,2022-10-26,4,150,NA,0,0,0,NA,0,0
Blacktail,2021-08-05,1,150,31,988,6.586666666666667,31.870967741935484,2021,573878,3825.8533333333335
Blacktail,2021-08-05,2,111,33.63333333,323,2.90990990990991,9.6035678899508,2021,216264,1948.3243243243244
Blacktail,2021-08-05,3,150,15.91666667,31,0.20666666666666667,1.9476439786497082,2021,18426,122.84
Blacktail,2021-08-05,4,150,23.38333333,5,0.03333333333333333,0.21382751250375304,2021,2604,17.36
Blacktail,2021-08-20,1,150,32.8,790,5.266666666666667,24.085365853658537,2021,656283,4375.22
Blacktail,2021-08-20,2,111,32.78333333,495,4.45945945945946,15.099135741240381,2021,269862,2431.189189189189
Blacktail,2021-08-20,3,150,17.68333333,43,0.2866666666666667,2.4316682379701544,2021,29458,196.38666666666666
Blacktail,2021-08-20,4,150,32.66666667,74,0.49333333333333335,2.265306122217826,2021,57411,382.74
Blacktail,2021-09-09,1,150,36.01666667,305,2.033333333333333,8.468301711386552,2021,680414,4536.093333333333
Blacktail,2021-09-09,2,111,38.71666667,286,2.5765765765765765,7.386999568886181,2021,558013,5027.144144144144
Blacktail,2021-09-09,3,150,16.38333333,78,0.52,4.760935911446783,2021,79823,532.1533333333333
Blacktail,2021-09-09,4,150,40.25,36,0.24,0.8944099378881988,2021,56513,376.75333333333333
Blacktail,2021-10-09,1,150,24.81666667,239,1.5933333333333333,9.630624578961635,2021,472670,3151.133333333333
Blacktail,2021-10-09,2,111,25.28333333,225,2.027027027027027,8.899143046657764,2021,974946,8783.297297297297
Blacktail,2021-10-09,3,150,18.58333333,70,0.4666666666666667,3.7668161441734203,2021,147267,981.78
Blacktail,2021-10-09,4,150,23.61666667,30,0.2,1.2702893435045464,2021,94144,627.6266666666667
Blacktail,2021-11-04,1,150,26.15,196,1.3066666666666666,7.495219885277247,2021,432158,2881.0533333333333
Blacktail,2021-11-04,2,111,24.56666667,194,1.7477477477477477,7.896879239091333,2021,768000,6918.918918918919
Blacktail,2021-11-04,3,150,28.5,84,0.56,2.9473684210526314,2021,214029,1426.86
Blacktail,2021-11-04,4,150,28.28333333,38,0.25333333333333335,1.3435474368112608,2021,137662,917.7466666666667
Blacktail,2022-08-04,1,150,32,126,0.84,3.9375,2022,101750,678.3333333333334
Blacktail,2022-08-04,2,111,18.53333333,12,0.10810810810810811,0.6474820145049428,2022,17350,156.3063063063063
Blacktail,2022-08-04,3,150,20.35,12,0.08,0.5896805896805897,2022,13533,90.22
Blacktail,2022-08-04,4,150,23.76666667,38,0.25333333333333335,1.5988779801404098,2022,52684,351.2266666666667
Blacktail,2022-08-24,1,150,22.71666667,184,1.2266666666666666,8.099779896096878,2022,208383,1389.22
Blacktail,2022-08-24,2,111,24.83333333,260,2.3423423423423424,10.469798659123464,2022,302734,2727.3333333333335
Blacktail,2022-08-24,3,150,21.35,29,0.19333333333333333,1.3583138173302107,2022,46433,309.55333333333334
Blacktail,2022-08-24,4,150,22.3,39,0.26,1.748878923766816,2022,81123,540.82
Blacktail,2022-09-14,1,150,32.01666667,468,3.12,14.617386776198085,2022,958412,6389.413333333333
Blacktail,2022-09-14,2,111,23.83333333,191,1.7207207207207207,8.013986015106852,2022,420019,3783.954954954955
Blacktail,2022-09-14,3,150,18.9,63,0.42,3.3333333333333335,2022,165388,1102.5866666666666
Blacktail,2022-09-14,4,150,25.15,148,0.9866666666666667,5.884691848906561,2022,202473,1349.82
Blacktail,2022-10-04,1,150,30.6,234,1.56,7.647058823529411,2022,674524,4496.826666666667
Blacktail,2022-10-04,2,111,26.81666667,174,1.5675675675675675,6.488502174457613,2022,417694,3763.009009009009
Blacktail,2022-10-04,3,150,20.78333333,75,0.5,3.608660786464901,2022,270279,1801.86
Blacktail,2022-10-04,4,150,22.9,75,0.5,3.275109170305677,2022,180382,1202.5466666666666
Blacktail,2022-11-01,1,150,30.2,194,1.2933333333333332,6.423841059602649,2022,777346,5182.306666666666
Blacktail,2022-11-01,2,111,29.25,424,3.81981981981982,14.495726495726496,2022,1818260,16380.720720720721
Blacktail,2022-11-01,3,150,22.65,166,1.1066666666666667,7.328918322295806,2022,472047,3146.98
Blacktail,2022-11-01,4,150,17.38333333,67,0.44666666666666666,3.8542665395693705,2022,401502,2676.68
Cliff,2021-08-12,1,150,13.48333333,4,0.02666666666666667,0.2966625464268634,2021,10110,67.4
Cliff,2021-08-12,2,150,17.48333333,6,0.04,0.34318398481280915,2021,5686,37.906666666666666
Cliff,2021-08-12,3,150,NA,0,0,0,NA,0,0
Cliff,2021-08-12,4,150,11.38333333,1,0.006666666666666667,0.08784773062601692,2021,2700,18
Cliff,2021-09-01,1,150,NA,0,0,0,NA,0,0
Cliff,2021-09-01,2,150,13.06666667,1,0.006666666666666667,0.07653061222537484,2021,4232,28.213333333333335
Cliff,2021-09-01,3,150,NA,0,0,0,NA,0,0
Cliff,2021-09-01,4,150,NA,0,0,0,NA,0,0
Cliff,2021-09-17,1,150,NA,0,0,0,NA,0,0
Cliff,2021-09-17,2,150,NA,0,0,0,NA,0,0
Cliff,2021-09-17,3,150,9.966666667,1,0.006666666666666667,0.10033444815717944,2021,3249,21.66
Cliff,2021-09-17,4,150,NA,0,0,0,NA,0,0
Cliff,2021-10-05,1,150,17.25,5,0.03333333333333333,0.2898550724637681,2021,23299,155.32666666666665
Cliff,2021-10-05,2,150,22.6,8,0.05333333333333334,0.35398230088495575,2021,27370,182.46666666666667
Cliff,2021-10-05,3,150,21.76666667,5,0.03333333333333333,0.22970903518687458,2021,17778,118.52
Cliff,2021-10-05,4,150,17.31666667,9,0.06,0.5197305100058267,2021,36164,241.09333333333333
Cliff,2021-10-31,1,150,16,5,0.03333333333333333,0.3125,2021,89210,594.7333333333333
Cliff,2021-10-31,2,150,24.23333333,6,0.04,0.24759284735180093,2021,150474,1003.16
Cliff,2021-10-31,3,150,22.5,12,0.08,0.5333333333333333,2021,173432,1156.2133333333334
Cliff,2021-10-31,4,150,13,5,0.03333333333333333,0.38461538461538464,2021,124222,828.1466666666666
Cliff,2022-08-14,1,150,17.3,12,0.08,0.6936416184971098,2022,8550,57
Cliff,2022-08-14,2,150,22,7,0.04666666666666667,0.3181818181818182,2022,6186,41.24
Cliff,2022-08-14,3,150,20.75,15,0.1,0.7228915662650602,2022,14082,93.88
Cliff,2022-08-14,4,150,14.41666667,7,0.04666666666666667,0.4855491328357112,2022,6864,45.76
Cliff,2022-08-30,1,150,17.3,16,0.10666666666666667,0.9248554913294798,2022,28062,187.08
Cliff,2022-08-30,2,150,19.11666667,7,0.04666666666666667,0.3661726241732916,2022,15713,104.75333333333333
Cliff,2022-08-30,3,150,18.75,17,0.11333333333333333,0.9066666666666666,2022,40461,269.74
Cliff,2022-08-30,4,150,15,12,0.08,0.8,2022,25902,172.68
Cliff,2022-09-13,1,150,16.85,12,0.08,0.7121661721068249,2022,24427,162.84666666666666
Cliff,2022-09-13,2,150,18.7,21,0.14,1.1229946524064172,2022,50246,334.97333333333336
Cliff,2022-09-13,3,150,19.8,14,0.09333333333333334,0.7070707070707071,2022,32329,215.52666666666667
Cliff,2022-09-13,4,150,12.2,7,0.04666666666666667,0.5737704918032788,2022,21396,142.64
Cliff,2022-10-11,1,150,18.7,28,0.18666666666666668,1.4973262032085561,2022,104532,696.88
Cliff,2022-10-11,2,150,19.98333333,13,0.08666666666666667,0.6505421185405408,2022,44185,294.56666666666666
Cliff,2022-10-11,3,150,17.68333333,18,0.12,1.0179076344991342,2022,58678,391.18666666666667
Cliff,2022-10-11,4,150,16,7,0.04666666666666667,0.4375,2022,21393,142.62
Cliff,2022-11-02,1,150,15.76666667,16,0.10666666666666667,1.0147991541194927,2022,55643,370.9533333333333
Cliff,2022-11-02,2,150,20.06473429869565,27,0.18,1.3456445322455723,2022,104916,699.44
Cliff,2022-11-02,3,150,18.6,35,0.23333333333333334,1.8817204301075268,2022,130060,867.0666666666667
Cliff,2022-11-02,4,150,14.33333333,27,0.18,1.8837209306706328,2022,105252,701.68
Crystal,2021-08-09,1,150,14.35,11,0.07333333333333333,0.7665505226480837,2021,6540,43.6
Crystal,2021-08-09,2,150,29.01666667,29,0.19333333333333333,0.9994256173464187,2021,17787,118.58
Crystal,2021-08-09,3,150,22.65,34,0.22666666666666666,1.501103752759382,2021,22241,148.27333333333334
Crystal,2021-08-09,4,150,24.71666667,51,0.34,2.063385030065626,2021,31251,208.34
Crystal,2021-08-30,1,150,13.48333333,4,0.02666666666666667,0.2966625464268634,2021,4335,28.9
Crystal,2021-08-30,2,150,21.9,26,0.17333333333333334,1.1872146118721463,2021,23426,156.17333333333335
Crystal,2021-08-30,3,150,16.83333333,11,0.07333333333333333,0.6534653466640526,2021,8881,59.20666666666666
Crystal,2021-08-30,4,150,17.95,29,0.19333333333333333,1.615598885793872,2021,27743,184.95333333333335
Crystal,2021-09-15,1,150,10.76666667,1,0.006666666666666667,0.09287925693718908,2021,1225,8.166666666666666
Crystal,2021-09-15,2,150,18.21666667,29,0.19333333333333333,1.5919487645760388,2021,45083,300.55333333333334
Crystal,2021-09-15,3,150,16.5,16,0.10666666666666667,0.9696969696969697,2021,15801,105.34
Crystal,2021-09-15,4,150,18.06666667,24,0.16,1.3284132838877467,2021,34161,227.74
Crystal,2021-10-10,1,150,15.45,21,0.14,1.3592233009708738,2021,44894,299.29333333333335
Crystal,2021-10-10,2,150,20.8,52,0.3466666666666667,2.5,2021,124613,830.7533333333333
Crystal,2021-10-10,3,150,17.96666667,19,0.12666666666666668,1.0575139144605727,2021,36994,246.62666666666667
Crystal,2021-10-10,4,150,16.35,13,0.08666666666666667,0.7951070336391437,2021,30440,202.93333333333334
Crystal,2021-11-01,1,150,16.25,14,0.09333333333333334,0.8615384615384616,2021,33990,226.6
Crystal,2021-11-01,2,150,24,69,0.46,2.875,2021,152413,1016.0866666666667
Crystal,2021-11-01,3,150,14.06666667,11,0.07333333333333333,0.7819905211417084,2021,23471,156.47333333333333
Crystal,2021-11-01,4,150,15.2,8,0.05333333333333334,0.5263157894736842,2021,19080,127.2
Crystal,2022-08-08,1,150,15.68333333,1,0.006666666666666667,0.0637619553801832,2022,729,4.86
Crystal,2022-08-08,2,150,NA,0,0,0,NA,0,0
Crystal,2022-08-08,3,150,NA,0,0,0,NA,0,0
Crystal,2022-08-08,4,150,NA,0,0,0,NA,0,0
Crystal,2022-08-29,1,150,18.93333333,37,0.24666666666666667,1.95422535245673,2022,30907,206.04666666666665
Crystal,2022-08-29,2,150,19.98333333,44,0.29333333333333333,2.2018348627525994,2022,34868,232.45333333333335
Crystal,2022-08-29,3,150,19,52,0.3466666666666667,2.736842105263158,2022,40636,270.9066666666667
Crystal,2022-08-29,4,150,18.56666667,38,0.25333333333333335,2.0466786351801294,2022,30683,204.55333333333334
Crystal,2022-09-11,1,150,17.31666667,42,0.28,2.425409046693858,2022,49258,328.38666666666666
Crystal,2022-09-11,2,150,22,27,0.18,1.2272727272727273,2022,27976,186.50666666666666
Crystal,2022-09-11,3,150,22.53333333,48,0.32,2.1301775151080142,2022,48985,326.56666666666666
Crystal,2022-09-11,4,150,18.4,31,0.20666666666666667,1.6847826086956523,2022,34965,233.1
Crystal,2022-10-02,1,150,17.68333333,43,0.2866666666666667,2.4316682379701544,2022,63398,422.6533333333333
Crystal,2022-10-02,2,150,19.95,35,0.23333333333333334,1.7543859649122808,2022,56000,373.3333333333333
Crystal,2022-10-02,3,150,16.8,24,0.16,1.4285714285714286,2022,32723,218.15333333333334
Crystal,2022-10-02,4,150,20.7,27,0.18,1.3043478260869565,2022,37074,247.16
Crystal,2022-10-29,1,150,10.46666667,11,0.07333333333333333,1.0509554136780397,2022,25201,168.00666666666666
Crystal,2022-10-29,2,150,17.7,23,0.15333333333333332,1.2994350282485876,2022,47497,316.64666666666665
Crystal,2022-10-29,3,150,13.23333333,10,0.06666666666666667,0.7556675064875736,2022,21727,144.84666666666666
Crystal,2022-10-29,4,150,14.26666667,11,0.07333333333333333,0.7710280372030308,2022,28377,189.18
Fall,2021-08-08,1,150,24,20,0.13333333333333333,0.8333333333333334,2021,23886,159.24
Fall,2021-08-08,2,150,19.96666667,17,0.11333333333333333,0.8514190315773925,2021,21680,144.53333333333333
Fall,2021-08-08,3,150,22.75,17,0.11333333333333333,0.7472527472527473,2021,26341,175.60666666666665
Fall,2021-08-08,4,150,21.71666667,13,0.08666666666666667,0.5986185724330594,2021,18552,123.68
Fall,2021-08-23,1,150,27.03333333,25,0.16666666666666666,0.9247842171300596,2021,44668,297.7866666666667
Fall,2021-08-23,2,150,19.81666667,4,0.02666666666666667,0.20185029433105967,2021,6485,43.233333333333334
Fall,2021-08-23,3,150,23.86666667,9,0.06,0.3770949720143722,2021,13752,91.68
Fall,2021-08-23,4,150,17.9,3,0.02,0.1675977653631285,2021,6074,40.49333333333333
Fall,2021-09-13,1,150,29.56666667,26,0.17333333333333334,0.8793686582999585,2021,55163,367.75333333333333
Fall,2021-09-13,2,150,21.6,3,0.02,0.13888888888888887,2021,7441,49.60666666666667
Fall,2021-09-13,3,150,26.71666667,15,0.1,0.5614472862680665,2021,36226,241.50666666666666
Fall,2021-09-13,4,150,21.51666667,6,0.04,0.2788536018158244,2021,16357,109.04666666666667
Fall,2021-10-07,1,150,19.31666667,19,0.12666666666666668,0.9836065572073155,2021,55362,369.08
Fall,2021-10-07,2,150,24.85,22,0.14666666666666667,0.8853118712273641,2021,64663,431.08666666666664
Fall,2021-10-07,3,150,20.63333333,98,0.6533333333333333,4.7495961235459765,2021,379425,2529.5
Fall,2021-10-07,4,150,18.4,15,0.1,0.8152173913043479,2021,42121,280.8066666666667
Fall,2021-11-05,1,150,26.11666667,25,0.16666666666666666,0.9572431396353231,2021,74822,498.81333333333333
Fall,2021-11-05,2,150,25.26666667,43,0.2866666666666667,1.7018469654746904,2021,124839,832.26
Fall,2021-11-05,3,150,21.21666667,83,0.5533333333333333,3.9120188524882926,2021,276250,1841.6666666666667
Fall,2021-11-05,4,150,16.98333333,13,0.08666666666666667,0.7654563298852711,2021,43584,290.56
Fall,2022-08-02,1,150,17,23,0.15333333333333332,1.3529411764705883,2022,19375,129.16666666666666
Fall,2022-08-02,2,150,24.48333333,35,0.23333333333333334,1.4295439076146417,2022,31314,208.76
Fall,2022-08-02,3,150,21.75,38,0.25333333333333335,1.7471264367816093,2022,33294,221.96
Fall,2022-08-23,1,150,16.7,18,0.12,1.0778443113772456,2022,27742,184.94666666666666
Fall,2022-08-23,2,150,25.08333333,28,0.18666666666666668,1.1162790699157847,2022,47855,319.03333333333336
Fall,2022-08-23,3,150,19.88333333,62,0.41333333333333333,3.1181894389133595,2022,125202,834.68
Fall,2022-08-23,4,150,16.06666667,12,0.08,0.7468879666500232,2022,18878,125.85333333333334
Fall,2022-09-10,1,150,16.3,29,0.19333333333333333,1.7791411042944785,2022,65141,434.2733333333333
Fall,2022-09-10,2,150,18.81666667,12,0.08,0.637732506530074,2022,30212,201.41333333333333
Fall,2022-09-10,3,150,19.46666667,55,0.36666666666666664,2.8253424652696335,2022,140907,939.38
Fall,2022-09-10,4,150,17.16666667,23,0.15333333333333332,1.339805824982562,2022,60503,403.35333333333335
Fall,2022-10-01,1,150,14.01666667,33,0.22,2.354340070783748,2022,84851,565.6733333333333
Fall,2022-10-01,2,150,15.75,6,0.04,0.38095238095238093,2022,18038,120.25333333333333
Fall,2022-10-01,3,150,16.1,10,0.06666666666666667,0.6211180124223602,2022,30862,205.74666666666667
Fall,2022-10-01,4,150,15.5,16,0.10666666666666667,1.032258064516129,2022,40069,267.12666666666667
Fall,2022-10-27,1,150,14.06666667,19,0.12666666666666668,1.35071090015386,2022,64789,431.9266666666667
Fall,2022-10-27,2,150,19.7,30,0.2,1.5228426395939088,2022,192934,1286.2266666666667
Fall,2022-10-27,3,150,12.31666667,16,0.10666666666666667,1.299052773667374,2022,113472,756.48
Fall,2022-10-27,4,150,13.95,25,0.16666666666666666,1.7921146953405018,2022,161592,1077.28
Fish,2021-08-08,1,150,25.28333333,31,0.20666666666666667,1.2261041530950696,2021,24298,161.98666666666668
Fish,2021-08-08,2,150,21.18333333,23,0.15333333333333332,1.0857592448600724,2021,19866,132.44
Fish,2021-08-08,3,150,30.36666667,28,0.18666666666666668,0.9220636661995539,2021,24879,165.86
Fish,2021-08-08,4,150,27,31,0.20666666666666667,1.1481481481481481,2021,25430,169.53333333333333
Fish,2021-08-22,1,150,26.18333333,20,0.13333333333333333,0.7638446850113106,2021,28641,190.94
