site,basin_areasqkm,springprev_point,springprev_basinmean,springprev_iew01km,springprev_iew05km,sitename,springprev_basinmean_log,springprev_iew01km_log,springprev_iew05km_log
1,124.82082137137289,0.01242579985409975,0.061571780175417576,0.0204918571769771,0.03344477201276476,blackrock_1A,-2.7875516274443854,-3.8877276826260783,-3.3978597972158413
2,122.69469084628126,0.03165080025792122,0.06239527244101941,0.025752580081710576,0.035843686178857186,blackrock_4B,-2.7742657686400034,-3.6592204595438274,-3.3285878451916284
3,61.07556400772026,0.2346460074186325,0.2587749026601077,0.2623735302758623,0.2603224576449349,blacktail_1A,-1.3517966968688706,-1.3379861024735615,-1.3458341946949766
4,0.922382693851633,0.5877969861030579,0.2570351318307085,0.2645915340499316,0.2579759539139316,blacktail_4B,-1.3585425036990908,-1.3295680230892883,-1.3548889002880713
5,0.001617505819992,0.37939101457595825,0.20117297215121133,0.20333705777453537,0.2016038305561056,bluecrane_Ford,-1.6035901830245478,-1.5928902937266982,-1.6014507421911026
6,957.5557622837981,0.08374500274658203,0.03996538466696018,0.04388035961161083,0.046784692056225825,buffalofork_2051,-3.219741582854512,-3.126288448266601,-3.0621992223807464
7,23.50858696191606,0.11977200210094452,0.02895580934729488,0.04106154318400345,0.03297834485963322,cabin_NA,-3.5419844267939817,-3.192683284463806,-3.4119041492946125
8,8.80109179245371,0.22257000207901,0.06329706746596328,0.06238582457469958,0.06360992522354367,christian_NA,-2.7599162784570836,-2.774417199691081,-2.7549857638377264
9,8.80109179245371,0.22257000207901,0.06329706746596328,0.06238582457469958,0.06360992522354367,christiansen_NA,-2.7599162784570836,-2.774417199691081,-2.7549857638377264
10,158.60445230419023,0.4102100133895874,0.03224565525720873,0.11112701784001215,0.05428518906652451,cliff_1A,-3.434371965522711,-2.197081427022605,-2.913503850454161
11,157.30333062258606,0.20187099277973175,0.029685100503541454,0.08196493075645014,0.046659232351111746,cliff_4B,-3.5171100255976717,-2.501463796898192,-3.064884464493504
12,35.541940634471985,0.4403800070285797,0.07362693542024372,0.23587935266022397,0.09978663863621454,coburn_NA,-2.608744349814387,-1.4444348222141896,-2.3047209860282893
13,2.086339881919229,0.3789840042591095,0.23112402296960186,0.22106558160124423,0.22933914438045525,cody_Moment,-1.4648008165651163,-1.50929587215886,-1.4725533911696627
14,187.13547571247744,0.4541440010070801,0.07922855600868882,0.2742428083709769,0.12626874719779888,cottonwoodNPS_lower,-2.535418489481068,-1.2937414030658763,-2.069342729194778
15,157.7752379455853,0.49665001034736633,0.07098677019892231,0.1916495771119597,0.1055690610130802,cottonwoodNPS_upper,-2.645261754529833,-1.6520866937222667,-2.2483899334685105
16,185.09580087352077,0.06845449656248093,0.02376372472076934,0.0350282996566207,0.025808393049035747,crystal_1A,-3.7395950324317946,-3.351598982584836,-3.6570555279789043
17,182.4971160231316,0.041471101343631744,0.023653234416892568,0.03548894646433751,0.02512332675676462,crystal_4B,-3.7442554115816002,-3.338533998187359,-3.683958511566246
18,11.652188426073078,0.22786499559879303,0.09470688558563453,0.10311262753831706,0.09704309430165983,deadmans_1A,-2.356968571975711,-2.271933416910931,-2.33260012798683
19,7.943490206703669,0.32275599241256714,0.09095234851194264,0.10274644347022992,0.09335672610683426,deadmans_4B,-2.397419552339924,-2.275491039633271,-2.3713273590262287
20,214.37233271423895,0.3695639967918396,0.04728590141380091,0.10739019419240482,0.06025657603437081,dell_NA,-3.051543095276658,-2.2312864028223274,-2.809143566768656
21,107.16833335546441,0.21483099460601807,0.05914197759483913,0.24196709894926938,0.10547430558331314,ditch_1973,-2.8278143259075645,-1.4189535168232212,-2.2492879047022187
22,67.67854626613203,0.02578900009393692,0.04447826729515757,0.028106601722676917,0.03939506041225455,ditch_NA,-3.1127545844937625,-3.5717507934856854,-3.2341148407851015
23,67.67854626613203,0.02578900009393692,0.04447826729515757,0.028106601722676917,0.03939506041225455,ditch_upper,-3.1127545844937625,-3.5717507934856854,-3.2341148407851015
24,31.11256269700198,0.16378599405288696,0.028135065270394638,0.03455024142584243,0.03241683682894734,dog_NA,-3.5707386061992965,-3.365340741069502,-3.4290773359434423
25,0.014314926507007,0.12793199717998505,0.05295480523708757,0.05390212685445853,0.053143490401245136,fall_4B,-2.9383164605879415,-2.92058534257929,-2.9347596576828385
26,109.11953062614134,0.4236519932746887,0.06844515643708486,0.20680690293694912,0.10059554419895535,fall_lower,-2.681722490349066,-1.575969757132474,-2.2966473145543342
27,110.87686982427576,0.15645599365234375,0.07000293416236512,0.19994406501196257,0.1040817427826071,fall_lower2,-2.659218121206038,-1.609717626490617,-2.262578700273505
28,71.61773906485811,0.3998120129108429,0.0640296049128467,0.17877235259818053,0.09646059599821157,fall_upper,-2.7484097258148843,-1.7216420557257464,-2.3386206856520064
29,29.27992860295629,0.46642398834228516,0.14386474251965617,0.23280766917445464,0.1603925054569647,fish_4B,-1.938881708871535,-1.4575426204782311,-1.8301313087250881
30,38.70756127479322,0.5138710141181946,0.15938092513335705,0.24151076025424043,0.18012896159724398,fish_downstream,-1.836458186453167,-1.4208412509639152,-1.7140822313040625
31,585.2036580129885,0.0948605015873909,0.07469261691380089,0.029747986968698636,0.03801031747828159,fish_Upper_GV,-2.5943740282233163,-3.514993814197565,-3.2698976435222655
32,125.88958834185057,0.6481530070304871,0.05878287802032316,0.24362481176424922,0.11869425678257525,flat_4B,-2.8339046566121926,-1.412125893800173,-2.131204362845622
33,126.08288028734188,0.7265160083770752,0.06671957585297349,0.3330384573087701,0.1499869465328393,flat_east fork,-2.7072568780715542,-1.0994973082561272,-1.8972070117870168
34,126.08288028734188,0.7265160083770752,0.06671957585297349,0.3330384573087701,0.1499869465328393,flat_eastfork,-2.7072568780715542,-1.0994973082561272,-1.8972070117870168
35,44.76431181775035,0.7437149882316589,0.43549798740971724,0.4879320263207207,0.45297807470539536,flat_GV return,-0.8312651040327098,-0.7175791731571803,-0.7919115548792712
36,44.76431181775035,0.7437149882316589,0.43549798740971724,0.4879320263207207,0.45297807470539536,flat_Gvreturn,-0.8312651040327098,-0.7175791731571803,-0.7919115548792712
37,175.60945274038374,0.4753749966621399,0.12066942981445938,0.32768279869787925,0.2512678695698862,flat_mainstem,-2.1147004570717973,-1.1157092156594046,-1.3812356994717345
38,40.396075600258676,0.09321010112762451,0.04552237013078473,0.03736480332750348,0.04552734809675853,goosewing_NA,-3.0895514226200587,-3.2870261051624188,-3.0894420765160695
39,219.91156227006462,0.3871760070323944,0.048009581040852144,0.19083172866414752,0.07035764551904725,granite_NA,-3.0363546829749244,-1.656363241004031,-2.654163823017669
40,1597.1539573902699,0.32430100440979004,0.052484199166135406,0.13631879094536548,0.11168286291102862,grosventre_hwy191,-2.947243122948684,-1.992759085179273,-2.1920920053483224
41,1539.6867253658174,0.01213650032877922,0.05068047818740821,0.015757174337543214,0.031621659566723984,grosventre_lowerslide,-2.9822144881473465,-4.150459503930465,-3.4539129638619572
42,266.14198136309204,0.18578200042247772,0.04257439226695513,0.05019112557389011,0.04210392167481228,grosventre_upper,-3.1565023269461845,-2.991917049308738,-3.1676143912114063
43,674.3116492600942,0.31011998653411865,0.04333099462452904,0.1131348183714163,0.05890709682233431,hoback_bondurant,-3.1388870888542844,-2.1791750884947607,-2.8317937062393175
44,113.8851880235516,0.11940299719572067,0.040899384347861875,0.058749463308268225,0.04852181773822889,hoback_upper,-3.196640268666187,-2.8344732611780077,-3.0257417319182385
45,110.18045269342838,0.3190459907054901,0.0914708245810261,0.18194323233787923,0.13081667427113844,lake_NA,-2.3917352145843416,-1.7040605507908881,-2.0339583689466694
46,67.65824656806066,0.2092919945716858,0.0329094589470921,0.03865614278664538,0.030718338941495248,lava_NA,-3.413995156542097,-3.2530495828995662,-3.4828954430794186
47,2.4262587298e-4,0.3942979872226715,0.3740406632423401,0.37410147915719716,0.3740528119150824,littlebarbc_NA,-0.9833907622308677,-0.9832281837272803,-0.9833582832074654
48,0.547040468321794,0.4004409909248352,0.2435945822852088,0.2420772223887925,0.24335420005513725,lowerbarbc_bridge,-1.4122499836022147,-1.418498502947142,-1.4132372835331952
49,0.120018931843501,0.4074389934539795,0.25587807239111465,0.2583411751632153,0.256360603988836,lowerbarbc_culvert,-1.3630542276819961,-1.353474183287107,-1.3611702163306465
50,6.39917652506014,0.3844360113143921,0.22812207954443423,0.23545894669695672,0.23062794340256576,lowerbarbc_SG,-1.477874356724328,-1.44621870472629,-1.466949501547636
51,6.39917652506014,0.3844360113143921,0.22812207954443423,0.23545894669695672,0.23062794340256576,lowerbarbc_SGbackup,-1.477874356724328,-1.44621870472629,-1.466949501547636
52,0.364100560080343,0.40473198890686035,0.261221477327686,0.2657712619089057,0.2621188198039979,lowerbarbc_top,-1.3423866593565024,-1.3251192577773954,-1.3389573673236557
53,61.625354235959826,0.6090959906578064,0.06501967861738676,0.20178020096307075,0.09309409086904175,mosquito_1A,-2.7330653069456194,-1.6005762880510133,-2.3741445675078676
54,60.51226760593015,0.5486230254173279,0.05799323230439603,0.16105959728367739,0.07654926725380494,mosquito_4B,-2.8474289596508378,-1.8259808130296524,-2.569820729049601
55,82.55879105713802,0.47165998816490173,0.06953724420926995,0.27795061705371576,0.11712851733009252,nowlin_NA,-2.665892782044871,-1.2803118175681565,-2.1444835083080345
56,418.22343707166004,0.0653730034828186,0.02668798671298808,0.043156660565660324,0.032872783496048635,pacific_NA,-3.6235417506705803,-3.1429185149485046,-3.415110212930611
57,82.65236376882754,0.1945360004901886,0.03768757043752772,0.11849880953712777,0.056070059496689174,shoal_NA,-3.2784249355073527,-2.132852364557601,-2.881153307732634
58,97.2378181241678,0.05123880133032799,0.019413529236460243,0.02465372162088174,0.02075624933811409,slate_NA,-3.9417850726489143,-3.702827411354794,-3.874907904727729
59,2082.666364451644,0.01851929910480976,0.04870748230611647,0.06331075194453756,0.04411434639858946,Snake_below_JLD,-3.0219226199124503,-2.7597001073123426,-3.1209702342720815
60,196.8510244202386,0.0639796033501625,0.028703299921061062,0.029516218040206692,0.026627789353026107,spread_1A,-3.550743182998324,-3.5228154026264646,-3.6257998960070523
61,192.13259819273097,0.02226950041949749,0.02854987285260063,0.020982692146867824,0.025579204671534992,spread_4B,-3.556102796389137,-3.864057364567137,-3.6659755751234404
62,4.01295106411777,0.19509999454021454,0.06014526623571289,0.07085766499965974,0.06408453323460503,spring_JLD,-2.8109925389815476,-2.6470821323928626,-2.747552235362725
63,25.087838769257903,0.42535701394081116,0.2384208564878633,0.23864100731586263,0.22751011837145463,spring_TSS,-1.4337178623496722,-1.432794917715735,-1.4805605652221334
64,18.801645025742918,0.6645190119743347,0.32924752830574705,0.34741279499977273,0.3342362633567861,srsidechannel_lower,-1.110945445430973,-1.057241595111362,-1.0959071607577164
65,18.600750802888303,0.649412989616394,0.33569316359648327,0.36065818869259825,0.3430744135192079,srsidechannel_spawning,-1.0915577398252454,-1.0198246149177015,-1.0698079063106445
66,0.0661559880376,0.09836219996213913,0.05203917991560822,0.052387239633480215,0.052107523674445974,SRUnkChan1_NA,-2.9557583841935897,-2.9490922357556055,-2.954445932310002
67,6.087240527669976,0.091286301612854,0.04464092963132949,0.047313515641786937,0.04513054706662756,SRUnkChan2_NA,-3.109104136051335,-3.0509592813456665,-3.0981959431996904
68,31.613827750612472,0.2628760039806366,0.12744537642850398,0.13346252621620608,0.1286202219558148,threechannel_1A,-2.0600674263503924,-2.013934543046483,-2.0508912326058253
69,31.41649204057524,0.25074100494384766,0.12679392238815243,0.13143208921471378,0.1277579719105909,threechannel_2B,-2.065192168820528,-2.0292649925884345,-2.057617649414034
70,0.698358137781511,0.24334600567817688,0.13653113152899363,0.13808648116073674,0.13684917690936224,threechannel_3A,-1.9912026205516107,-1.9798751150259588,-1.9888758580596655
71,0.465113798539351,0.2407979965209961,0.13495259361428089,0.13646351465800308,0.135257558621486,threechannel_4B,-2.002831720626995,-1.991697991968726,-2.0005744765214817
72,0.261793316966342,0.506384015083313,0.21477060979332335,0.2255350656806701,0.21690836169816227,unkspring_Ford,-1.538184751624574,-1.4892796302187274,-1.5282803109557133
73,5.722331214683637,0.4394730031490326,0.32483894472695696,0.3230830392234341,0.3244166511138689,upperbarbc_2_USMainRiff,-1.1244257741664896,-1.1298459014217248,-1.1257266291004928
74,1.070869728125032,0.5293689966201782,0.307230607006469,0.31074884771445066,0.30794313081226604,upperbarbc_3_DSRightFk,-1.18015665048906,-1.1687702566771918,-1.177840153276582
75,1.058738434474882,0.43315601348876953,0.3069103027578567,0.310384990693395,0.3076101518816821,upperbarbc_4_DS2ndPond,-1.1811997475130882,-1.169941846567088,-1.1789220383787304
76,0.91017052490991,0.505748987197876,0.30336204364842023,0.30556710561968714,0.3037960393741283,upperbarbc_5_US2ndPond,-1.1928283232279255,-1.1855858661622642,-1.191398725856966
77,0.860674846817668,0.5876230001449585,0.30349443437203827,0.3054423908117889,0.3038814132716892,upperbarbc_6_TopRightFk,-1.192392006798874,-1.1859940916001945,-1.191117741602076
78,4.591209394762148,0.4556320011615753,0.33701020548492916,0.3354855848441711,0.33672904340515164,upperbarbc_7_US1stPond,-1.0876420657502377,-1.092176289680743,-1.0884766975356424
79,4.433179076150049,0.5630459785461426,0.3655921898568547,0.3710131786986261,0.3666905605416339,upperbarbc_8_DirtRedd,-1.0062368021662798,-0.991517694906874,-1.0032369458733916
80,0.440689460657268,0.6131600141525269,0.3422064598373793,0.34633610249455415,0.3430260062589659,upperbarbc_9_TopLeft,-1.0723410403282296,-1.0603455809297964,-1.0699490146934028
81,5.738263647010908,0.5713279843330383,0.32547336385300557,0.3240258320753383,0.3251031990551816,upperbarbc_SG,-1.1224746521626732,-1.1269320377403784,-1.123612611501739
82,5.738263647010908,0.5713279843330383,0.32547336385300557,0.3240258320753383,0.3251031990551816,upperbarbc_SGbackup,-1.1224746521626732,-1.1269320377403784,-1.123612611501739
83,184.4352923719747,0.3114970028400421,0.04513783946841758,0.11494840059978423,0.06802873172047869,willow_4B,-3.0980343716443364,-2.1632719417472206,-2.6878251377435523
84,185.4841640209501,0.32583901286125183,0.0468399491958319,0.137883519839497,0.07374130907325885,willow_NA,-3.0610188248853203,-1.981346009377496,-2.6071921337807047
